size,direction,type,precision,exec_op
16,fft_direction::forward,fft_type::c2c,float,Block
32,fft_direction::forward,fft_type::c2c,float,Block
64,fft_direction::forward,fft_type::c2c,float,Block
128,fft_direction::forward,fft_type::c2c,float,Block
256,fft_direction::forward,fft_type::c2c,float,Block
512,fft_direction::forward,fft_type::c2c,float,Block
1024,fft_direction::forward,fft_type::c2c,float,Block
2048,fft_direction::forward,fft_type::c2c,float,Block
4096,fft_direction::forward,fft_type::c2c,float,Block
8192,fft_direction::forward,fft_type::c2c,float,Block
16384,fft_direction::forward,fft_type::c2c,float,Block
544,fft_direction::forward,fft_type::c2c,float,Block
608,fft_direction::forward,fft_type::c2c,float,Block
675,fft_direction::forward,fft_type::c2c,float,Block
686,fft_direction::forward,fft_type::c2c,float,Block
800,fft_direction::forward,fft_type::c2c,float,Block
