size,direction,type,precision,execution_type
16,fft_direction::forward,fft_type::c2c,float,execution_type::block
32,fft_direction::forward,fft_type::c2c,float,execution_type::block
64,fft_direction::forward,fft_type::c2c,float,execution_type::block
128,fft_direction::forward,fft_type::c2c,float,execution_type::block
256,fft_direction::forward,fft_type::c2c,float,execution_type::block
512,fft_direction::forward,fft_type::c2c,float,execution_type::block
1024,fft_direction::forward,fft_type::c2c,float,execution_type::block
2048,fft_direction::forward,fft_type::c2c,float,execution_type::block
4096,fft_direction::forward,fft_type::c2c,float,execution_type::block
8192,fft_direction::forward,fft_type::c2c,float,execution_type::block
16384,fft_direction::forward,fft_type::c2c,float,execution_type::block
544,fft_direction::forward,fft_type::c2c,float,execution_type::block
608,fft_direction::forward,fft_type::c2c,float,execution_type::block
675,fft_direction::forward,fft_type::c2c,float,execution_type::block
686,fft_direction::forward,fft_type::c2c,float,execution_type::block
800,fft_direction::forward,fft_type::c2c,float,execution_type::block
